rainfall_24h,rainfall_7d,temperature,humidity,wind_speed,elevation,river_proximity,flood_history_freq,soil_saturation_idx,population_density,twi,scs_runoff_mm,scs_runoff_ratio,fhi,hand_m,soil_saturation_theta,cn_effective,amc_class,imd_24h_class,rational_Q_m3s,risk_level
50.779,412.941,31.15,59.06,0.187,911.9,10.203,0.4286,0.576963,44325.0,5.681555,42.5038,0.837027,0.508603,3.9117,0.576963,97.02743230131428,AMC-III,moderate,0.552,2
34.285,121.391,32.41,80.24,10.129,917.31,0.307,0.4006,0.223453,47997.0,9.851467,31.2275,0.910818,0.60081,45.497,0.223453,98.94175341994321,AMC-III,light,5.3808,2
8.019,57.942,34.3,87.66,24.215,915.6,2.089,0.2727,0.113711,46858.0,7.689888,0.5049,0.062966,0.38026,17.349,0.113711,92.0,AMC-II,light,0.0271,1
39.732,176.793,29.41,37.34,7.519,893.6,2.347,0.5789,0.308104,29337.0,6.975125,28.3323,0.713087,0.53301,8.1886,0.308104,95.5270847381434,AMC-III,moderate,1.3833,2
2.446,33.057,34.49,49.03,11.703,960.0,3.044,0.5328,0.06655,40305.0,6.62195,0.0,0.0,0.316724,25.2034,0.06655,76.27500606733003,AMC-I,dry,0.0048,1
28.542,135.631,24.25,46.26,2.041,956.53,0.864,0.4788,0.246153,55000.0,8.510553,25.522,0.894199,0.488581,59.3347,0.246153,98.94175341994321,AMC-III,light,2.6008,2
9.793,47.285,34.18,84.26,0.174,909.07,0.309,0.6947,0.093814,33739.0,9.237923,0.0,0.0,0.452503,37.5316,0.093814,71.29975254791762,AMC-I,light,0.0841,2
9.15,72.943,27.79,75.68,8.393,903.36,5.824,0.1078,0.140982,35838.0,6.13129,0.134,0.01465,0.318521,5.2629,0.140982,88.0,AMC-II,light,0.0101,1
50.711,236.776,26.38,76.81,7.355,932.17,1.464,0.3228,0.389381,37491.0,7.781833,42.4362,0.836831,0.555877,30.7736,0.389381,97.02743230131428,AMC-III,moderate,3.0037,2
33.543,207.388,25.08,80.29,11.897,906.11,6.298,0.3238,0.350828,43968.0,6.263252,25.7282,0.767009,0.467417,5.3018,0.350828,97.02743230131428,AMC-III,light,0.5261,2
83.826,363.199,31.86,85.47,5.001,953.82,4.214,0.1984,0.530771,46171.0,6.609543,80.6519,0.962133,0.613452,17.7076,0.530771,98.94175341994321,AMC-III,heavy,2.3482,2
6.943,85.988,27.01,96.75,36.095,899.67,2.556,0.0704,0.164013,48897.0,7.512793,4.4928,0.64707,0.431293,9.6074,0.164013,98.94175341994321,AMC-III,dry,0.2043,1
28.228,121.125,32.85,67.14,0.711,870.0,6.56,0.4572,0.223022,51295.0,5.657358,25.2103,0.893109,0.466276,0.0,0.223022,98.94175341994321,AMC-III,light,0.4964,2
1.581,34.652,31.58,40.29,1.064,936.81,12.946,0.1545,0.069646,26379.0,4.963591,0.0,0.0,0.233419,4.9665,0.069646,71.29975254791762,AMC-I,dry,0.0008,0
27.022,139.576,27.33,93.91,1.415,907.44,1.897,0.1722,0.252322,44250.0,7.716425,19.5057,0.721835,0.491735,15.3401,0.252322,97.02743230131428,AMC-III,light,1.1311,2
58.945,234.893,26.61,97.61,0.147,926.44,10.508,0.2959,0.386982,35294.0,5.421388,50.5362,0.857345,0.482135,5.1239,0.386982,97.02743230131428,AMC-III,moderate,0.6382,2
17.867,110.962,31.24,75.79,10.534,912.23,2.904,0.4301,0.206396,18739.0,6.401526,3.3957,0.190053,0.384836,12.3022,0.206396,89.49303405572755,AMC-III,light,0.1387,1
15.772,110.612,17.98,87.9,13.852,924.06,0.532,0.0462,0.205818,49153.0,9.340833,12.9236,0.819382,0.474834,45.7978,0.205818,98.94175341994321,AMC-III,light,1.74,2
78.557,410.497,25.92,59.76,42.045,921.89,1.897,0.3164,0.574802,34334.0,7.380099,65.8912,0.83877,0.635566,21.2583,0.574802,95.5270847381434,AMC-III,heavy,3.8206,2
30.17,360.734,36.84,96.41,22.737,922.81,0.852,0.1267,0.528355,43539.0,8.608539,22.4959,0.745636,0.529009,36.4709,0.528355,97.02743230131428,AMC-III,light,2.312,2
17.328,63.26,22.31,78.65,8.815,917.87,5.735,0.3869,0.123477,36993.0,6.181751,2.4019,0.138616,0.354693,7.6597,0.123477,88.0,AMC-II,light,0.0535,1
2.59,16.006,36.69,48.84,1.759,936.95,0.1,0.6559,0.032796,31767.0,9.993011,0.0,0.0,0.379937,66.9426,0.032796,71.29975254791762,AMC-I,dry,0.03,1
12.987,93.916,32.45,75.44,23.798,914.63,0.896,0.3856,0.177706,39837.0,8.413403,6.8012,0.523678,0.459638,30.0084,0.177706,97.02743230131428,AMC-III,light,0.6771,2
18.063,58.189,22.44,57.47,27.252,927.19,1.927,0.1057,0.114167,28637.0,7.169752,1.5351,0.084986,0.357921,23.1528,0.114167,85.0,AMC-II,light,0.0879,1
3.507,12.992,24.14,64.95,2.773,916.44,3.517,0.0193,0.026704,49456.0,7.138588,0.0,0.0,0.320711,11.4913,0.026704,83.44822581815542,AMC-I,dry,0.0061,1
37.226,166.715,33.18,83.64,2.448,899.49,0.705,0.5164,0.293423,54740.0,9.048807,34.1537,0.917459,0.617886,22.3558,0.293423,98.94175341994321,AMC-III,moderate,3.9407,2
0.673,11.115,27.13,93.19,8.601,890.69,1.779,0.3617,0.02289,24145.0,7.077686,0.0,0.0,0.341087,8.8964,0.02289,55.511379832865735,AMC-I,dry,0.0021,1
0.365,10.978,24.25,92.88,10.805,906.23,3.41,0.1607,0.022611,53277.0,7.178253,0.0,0.0,0.325698,9.2088,0.022611,83.44822581815542,AMC-I,dry,0.0006,1
10.171,41.826,31.46,58.6,12.459,870.0,12.919,0.449,0.08345,32138.0,4.447721,0.0,0.0,0.282363,0.0,0.08345,71.29975254791762,AMC-I,light,0.0053,1
5.082,21.349,23.94,93.29,1.004,901.37,2.23,0.3092,0.043503,28079.0,6.990189,0.0,0.0,0.345113,11.3355,0.043503,71.29975254791762,AMC-I,dry,0.0129,1
3.373,50.154,32.65,71.19,10.173,938.33,0.621,0.1402,0.099215,5000.0,7.431853,0.0,0.0,0.280714,54.6638,0.099215,74.0,AMC-II,dry,0.0209,1
2.196,31.921,22.23,66.27,9.127,921.69,0.16,0.168,0.064339,47076.0,10.376189,0.0,0.0,0.396775,51.5952,0.064339,83.44822581815542,AMC-I,dry,0.0231,1
5.29,59.926,25.33,73.72,7.654,870.74,7.958,0.1153,0.117367,36073.0,5.121033,0.0,0.0,0.281435,0.0878,0.117367,88.0,AMC-II,dry,0.0043,1
1.239,40.083,27.84,86.69,2.702,917.84,0.536,0.3688,0.080115,45453.0,9.184855,0.0,0.0,0.370241,40.4337,0.080115,83.44822581815542,AMC-I,dry,0.0083,1
8.97,82.551,26.71,59.5,7.454,941.29,2.096,0.1606,0.158005,44877.0,7.619584,3.6168,0.403227,0.388141,27.0506,0.158005,97.02743230131428,AMC-III,light,0.1937,1
42.651,153.533,29.41,56.77,1.8,929.22,4.74,0.1859,0.27375,29488.0,6.188262,31.0906,0.728956,0.45328,11.2644,0.27375,95.5270847381434,AMC-III,moderate,0.8247,2
5.142,47.69,23.83,72.04,17.249,906.31,5.165,0.2707,0.094578,29664.0,6.095522,0.0,0.0,0.309334,6.3912,0.094578,71.29975254791762,AMC-I,dry,0.0063,1
4.687,58.931,36.12,70.28,3.481,940.22,1.273,0.0294,0.115535,38360.0,7.970166,0.0,0.0,0.326732,38.215,0.115535,88.0,AMC-II,dry,0.0184,1
12.69,56.393,22.31,91.69,32.28,959.55,7.672,0.3279,0.110846,21323.0,5.061919,0.0,0.0,0.281513,10.9436,0.110846,74.0,AMC-II,light,0.0108,1
9.934,99.94,28.0,42.36,50.27,934.53,5.477,0.1893,0.187961,33104.0,6.126051,2.9349,0.295452,0.341986,10.7682,0.187961,95.5270847381434,AMC-III,light,0.0683,1
29.229,117.052,26.15,60.88,9.251,909.25,1.278,0.553,0.216401,31871.0,7.731974,18.6076,0.636626,0.504518,21.3001,0.216401,95.5270847381434,AMC-III,light,1.4544,2
2.733,17.812,32.92,58.56,10.427,911.07,3.001,0.0955,0.036428,35711.0,6.90105,0.0,0.0,0.316238,11.6381,0.036428,76.27500606733003,AMC-I,dry,0.0054,1
24.95,169.097,25.34,37.38,7.665,901.33,2.496,0.8137,0.296921,20870.0,6.631473,7.3857,0.296017,0.455685,10.3414,0.296921,89.49303405572755,AMC-III,light,0.3427,2
3.614,73.899,29.62,59.27,3.789,887.24,0.1,0.422,0.14269,50259.0,10.646266,0.0,0.0,0.496513,17.2348,0.14269,92.0,AMC-II,dry,0.0419,2
4.518,31.524,25.62,77.43,3.265,927.23,0.314,0.5032,0.063564,54757.0,9.892174,0.0,0.0,0.415602,54.8601,0.063564,83.44822581815542,AMC-I,dry,0.0386,1
4.129,35.651,22.96,35.85,1.073,923.15,1.642,0.1248,0.071581,47588.0,8.002026,0.0,0.0,0.350106,24.2486,0.071581,83.44822581815542,AMC-I,dry,0.0134,1
8.596,54.166,21.46,70.88,6.875,958.87,1.046,0.4149,0.106712,55000.0,8.211729,0.6647,0.077329,0.357355,54.6941,0.106712,92.0,AMC-II,light,0.0597,1
5.369,37.344,32.2,98.99,8.951,901.51,0.1,0.1428,0.074851,23260.0,9.597771,0.0,0.0,0.416898,31.5046,0.074851,55.511379832865735,AMC-I,dry,0.0622,1
14.541,116.994,29.91,74.03,13.125,939.57,0.578,0.1814,0.216306,30824.0,8.522298,6.1493,0.42289,0.390246,57.2182,0.216306,95.5270847381434,AMC-III,light,0.7926,1
16.636,77.769,29.59,53.77,5.275,890.6,2.507,0.371,0.149575,37218.0,7.126303,9.9465,0.597901,0.454858,6.7772,0.149575,97.02743230131428,AMC-III,light,0.4598,2
4.356,16.823,25.33,67.26,10.901,918.05,1.22,0.1937,0.03444,55000.0,8.41978,0.0,0.0,0.368331,26.8734,0.03444,83.44822581815542,AMC-I,dry,0.0176,1
10.271,70.61,28.24,86.96,14.237,930.55,1.343,0.0721,0.136796,42448.0,8.055141,0.2944,0.028664,0.363254,31.784,0.136796,88.0,AMC-II,light,0.0387,1
14.052,133.01,31.58,80.0,22.701,942.02,0.862,0.1928,0.242025,36606.0,8.333854,7.7004,0.547989,0.413404,49.453,0.242025,97.02743230131428,AMC-III,light,0.786,1
21.517,152.124,34.71,89.9,4.612,912.99,5.297,0.3243,0.271614,37666.0,6.294794,14.3621,0.667466,0.426937,7.396,0.271614,97.02743230131428,AMC-III,light,0.3444,1
7.476,53.142,25.87,55.49,9.305,898.74,2.95,0.5955,0.104803,42026.0,7.120622,0.0086,0.001144,0.386299,8.2625,0.104803,88.0,AMC-II,dry,0.0151,1
36.738,236.987,32.42,86.92,74.186,916.18,1.296,0.114,0.38965,29654.0,7.637808,25.524,0.694765,0.501488,24.8345,0.38965,95.5270847381434,AMC-III,moderate,1.9758,2
9.847,68.644,36.49,42.18,5.255,889.85,0.798,0.2857,0.133254,20511.0,7.743016,0.0,0.0,0.398872,14.177,0.133254,74.0,AMC-II,light,0.0527,1
4.432,101.637,27.59,92.14,34.747,894.36,1.89,0.3051,0.190828,40909.0,7.607504,0.776,0.175082,0.400508,10.009,0.190828,97.02743230131428,AMC-III,dry,0.0451,1
12.939,49.183,25.07,85.67,5.172,901.11,0.179,0.3242,0.09739,39123.0,9.931924,0.8892,0.068721,0.471166,30.9974,0.09739,88.0,AMC-II,light,0.1821,2
4.575,28.827,26.43,73.54,10.412,899.68,6.588,0.1861,0.058288,39013.0,6.073051,0.0,0.0,0.298213,4.18,0.058288,76.27500606733003,AMC-I,dry,0.0045,1
14.407,64.775,20.91,82.02,8.219,896.73,0.254,0.5004,0.126239,5000.0,8.164211,0.0,0.0,0.434664,26.209,0.126239,74.0,AMC-II,light,0.1329,1
16.155,109.2,23.71,79.07,10.009,929.6,4.79,0.1572,0.203478,41087.0,6.51298,9.5225,0.589455,0.394876,11.2294,0.203478,97.02743230131428,AMC-III,light,0.2502,1
20.518,144.891,27.58,56.78,16.328,918.67,0.526,0.2887,0.260556,44813.0,9.179597,13.4441,0.655241,0.493757,41.4029,0.260556,97.02743230131428,AMC-III,light,1.8218,2
71.517,287.383,20.31,76.21,9.318,907.31,4.294,0.3058,0.450483,38348.0,6.562739,62.9579,0.880321,0.592578,7.75,0.450483,97.02743230131428,AMC-III,heavy,1.8253,2
48.396,327.805,26.04,54.56,14.779,919.85,0.209,0.0344,0.494863,39405.0,9.818633,40.1665,0.829958,0.612741,49.434,0.494863,97.02743230131428,AMC-III,moderate,7.8727,2
0.448,2.332,25.61,66.76,17.657,901.12,0.959,0.2331,0.004847,22745.0,7.700249,0.0,0.0,0.338711,20.1499,0.004847,55.511379832865735,AMC-I,dry,0.0021,1
1.548,36.952,32.4,52.76,36.158,909.44,8.627,0.1895,0.074094,54922.0,6.021537,0.0,0.0,0.283267,4.3168,0.074094,83.44822581815542,AMC-I,dry,0.0012,1
74.408,498.558,24.59,37.02,12.655,898.27,1.379,0.1721,0.646073,39113.0,7.906529,65.8209,0.884596,0.676278,14.5807,0.646073,97.02743230131428,AMC-III,heavy,4.8688,3
26.526,203.732,31.01,75.7,1.688,946.23,1.971,0.3015,0.345865,25911.0,7.053362,16.1793,0.60993,0.437819,30.3381,0.345865,95.5270847381434,AMC-III,light,0.9103,1
4.028,28.147,19.75,86.84,4.459,929.12,1.822,0.5008,0.056953,44430.0,7.77002,0.0,0.0,0.35967,24.9691,0.056953,76.27500606733003,AMC-I,dry,0.0121,1
27.242,128.021,30.84,41.82,3.326,960.0,3.637,0.3518,0.234105,35452.0,6.272011,19.7135,0.72364,0.426945,21.6369,0.234105,97.02743230131428,AMC-III,light,0.6624,1
0.608,4.651,29.57,79.82,19.349,888.43,0.67,0.3765,0.009643,35716.0,8.449822,0.0,0.0,0.387751,14.2902,0.009643,76.27500606733003,AMC-I,dry,0.0036,1
22.224,178.164,24.94,87.11,4.976,917.86,5.1,0.3655,0.310077,55000.0,6.679128,19.266,0.866919,0.474686,8.5226,0.310077,98.94175341994321,AMC-III,light,0.4782,2
1.533,7.093,22.83,86.33,12.9,901.77,2.069,0.4704,0.014668,35456.0,7.319886,0.0,0.0,0.349615,12.1772,0.014668,76.27500606733003,AMC-I,dry,0.0041,1
4.006,39.821,29.16,36.99,3.576,942.28,3.897,0.4753,0.079612,24181.0,6.250647,0.0,0.0,0.310585,16.3592,0.079612,55.511379832865735,AMC-I,dry,0.0063,1
79.093,507.349,19.91,82.14,8.002,960.0,6.201,0.1751,0.652496,52718.0,6.011198,75.9239,0.959931,0.597138,13.4045,0.652496,98.94175341994321,AMC-III,heavy,1.5587,2
23.777,139.558,36.09,94.09,2.377,923.1,2.033,0.2331,0.252295,47749.0,7.751767,20.8011,0.874851,0.494297,20.6252,0.252295,98.94175341994321,AMC-III,light,1.1413,2
8.012,48.395,30.56,51.78,12.831,912.83,1.18,0.1719,0.095907,35922.0,7.966039,0.0,0.0,0.371066,24.4769,0.095907,76.27500606733003,AMC-I,light,0.0331,1
7.398,76.974,21.44,51.17,11.521,894.04,0.55,0.2651,0.148165,49670.0,9.31917,4.9088,0.663557,0.508804,20.133,0.148165,98.94175341994321,AMC-III,dry,0.6496,2
33.462,212.751,26.83,42.27,3.772,924.49,0.176,0.3689,0.358042,43792.0,10.151084,25.6497,0.766535,0.579096,54.3054,0.358042,97.02743230131428,AMC-III,light,5.2715,2
6.84,36.074,28.06,44.64,51.777,918.48,6.073,0.6171,0.072399,55000.0,6.461214,0.0,0.0,0.348929,7.3608,0.072399,83.44822581815542,AMC-I,dry,0.0072,1
2.708,11.281,23.34,78.77,42.044,931.11,0.296,0.0884,0.023229,45441.0,9.776417,0.0,0.0,0.36384,59.0271,0.023229,83.44822581815542,AMC-I,dry,0.0236,1
52.082,275.467,31.23,75.16,24.382,903.78,8.019,0.3935,0.43667,43021.0,5.943136,43.7824,0.840646,0.513706,3.9602,0.43667,97.02743230131428,AMC-III,moderate,0.7144,2
9.012,53.186,34.03,85.86,10.045,908.69,4.023,0.1623,0.104885,42169.0,6.754095,0.1183,0.01313,0.343919,8.5145,0.104885,88.0,AMC-II,light,0.0138,1
28.774,192.131,32.36,42.81,9.436,883.05,3.567,0.1341,0.329863,31358.0,6.269572,18.1966,0.632394,0.454794,3.1904,0.329863,95.5270847381434,AMC-III,light,0.6219,2
4.641,26.105,34.49,65.13,5.732,953.35,5.971,0.0064,0.052933,18325.0,5.447292,0.0,0.0,0.250782,12.8535,0.052933,55.511379832865735,AMC-I,dry,0.005,1
15.622,100.86,19.45,84.72,20.119,908.68,7.853,0.3426,0.189517,41637.0,5.932056,9.0561,0.579685,0.381931,4.625,0.189517,97.02743230131428,AMC-III,light,0.1507,1
11.975,52.708,33.84,70.05,4.476,899.56,2.827,0.0894,0.103994,41601.0,7.157369,0.6421,0.053618,0.367626,8.8071,0.103994,88.0,AMC-II,light,0.0268,1
3.604,39.127,23.17,41.95,10.053,949.94,2.397,0.2143,0.078281,36671.0,7.138513,0.0,0.0,0.313491,27.2659,0.078281,76.27500606733003,AMC-I,dry,0.0086,1
30.785,162.459,31.25,61.72,21.981,882.59,6.908,0.1356,0.28713,31461.0,5.499201,20.0235,0.650421,0.408248,1.6967,0.28713,95.5270847381434,AMC-III,light,0.3757,1
19.823,107.717,35.36,64.36,10.6,928.11,5.959,0.1016,0.201013,54481.0,6.484912,16.8983,0.852468,0.423406,8.9773,0.201013,98.94175341994321,AMC-III,light,0.3637,1
4.75,36.977,30.23,43.87,14.255,914.95,1.554,0.5788,0.074143,41828.0,7.865659,0.0,0.0,0.381891,21.3286,0.074143,76.27500606733003,AMC-I,dry,0.0161,1
5.768,18.711,37.46,93.12,2.556,887.48,1.315,0.2202,0.038232,35402.0,7.675769,0.0,0.0,0.38067,9.3068,0.038232,76.27500606733003,AMC-I,dry,0.0221,1
4.792,50.369,31.04,56.08,4.86,960.0,3.321,0.4649,0.099617,41700.0,6.559345,0.0,0.0,0.324577,23.3986,0.099617,88.0,AMC-II,dry,0.0087,1
3.469,41.09,28.92,69.83,1.22,954.59,1.281,0.2652,0.082043,18114.0,7.028391,0.0,0.0,0.289174,45.8326,0.082043,55.511379832865735,AMC-I,dry,0.0135,1
88.032,499.412,28.91,75.53,1.12,945.68,4.223,0.2981,0.646702,25568.0,6.203064,75.21,0.854351,0.609056,15.957,0.646702,95.5270847381434,AMC-III,heavy,2.2136,2
1.651,77.341,21.18,54.86,6.07,960.0,2.175,0.1015,0.148816,34981.0,6.849406,0.0,0.0,0.291335,33.1711,0.148816,95.5270847381434,AMC-III,dry,0.0043,1
4.209,79.422,26.09,92.07,24.305,944.16,4.919,0.1166,0.152498,41438.0,6.491338,0.6744,0.160229,0.317284,13.6433,0.152498,97.02743230131428,AMC-III,dry,0.0173,1
7.646,134.011,23.56,88.46,1.706,960.0,4.342,0.5523,0.243603,35767.0,6.074392,2.6737,0.34967,0.369271,18.5137,0.243603,97.02743230131428,AMC-III,light,0.0768,1
8.246,23.339,31.29,63.11,4.484,916.35,2.117,0.1424,0.047459,53369.0,7.762007,0.0,0.0,0.364979,17.4526,0.047459,83.44822581815542,AMC-I,light,0.0219,1
2.968,19.432,35.2,64.89,0.719,900.91,0.388,0.182,0.039675,27465.0,8.766982,0.0,0.0,0.399574,28.5569,0.039675,71.29975254791762,AMC-I,dry,0.0232,1
12.819,221.824,20.06,75.55,8.985,937.81,1.666,0.0971,0.370062,41498.0,7.774011,6.6607,0.519595,0.427359,30.6069,0.370062,97.02743230131428,AMC-III,light,0.4275,1
26.4,115.716,32.68,66.29,0.233,936.58,0.442,0.2278,0.214217,34629.0,8.939814,16.0665,0.608583,0.477719,59.6328,0.214217,95.5270847381434,AMC-III,light,2.3697,2
10.905,78.58,21.94,56.1,16.044,914.0,1.939,0.185,0.151011,26971.0,7.106778,3.5602,0.326477,0.384903,17.729,0.151011,95.5270847381434,AMC-III,light,0.2029,1
20.973,90.858,34.22,89.66,0.47,912.79,3.042,0.3741,0.172451,44594.0,7.164772,13.8617,0.660921,0.459239,11.9895,0.172451,97.02743230131428,AMC-III,light,0.544,2
1.242,22.209,28.99,79.21,0.511,958.05,0.266,0.1961,0.045216,18834.0,8.413225,0.0,0.0,0.275354,86.0072,0.045216,55.511379832865735,AMC-I,dry,0.0113,1
7.746,79.671,23.16,47.04,2.296,922.06,4.337,0.1297,0.152937,50734.0,6.880716,5.2299,0.675184,0.401497,10.7221,0.152937,98.94175341994321,AMC-III,light,0.1503,1
4.145,25.069,32.03,69.47,0.514,945.62,10.372,0.1217,0.050887,53342.0,5.789965,0.0,0.0,0.26713,6.9498,0.050887,83.44822581815542,AMC-I,dry,0.0026,1
30.062,119.195,31.29,56.99,31.587,900.13,1.697,0.0764,0.219892,36772.0,7.589404,22.3924,0.744884,0.490279,13.4145,0.219892,97.02743230131428,AMC-III,light,1.4165,2
2.332,20.635,21.13,88.04,23.711,937.83,5.622,0.2159,0.042079,40892.0,6.315024,0.0,0.0,0.289309,11.0514,0.042079,76.27500606733003,AMC-I,dry,0.0026,1
26.966,115.635,32.54,70.43,50.135,912.64,3.884,0.2477,0.214085,17097.0,6.04084,8.6787,0.321838,0.385611,9.6799,0.214085,89.49303405572755,AMC-III,light,0.2752,1
23.756,142.033,18.05,71.73,14.011,916.96,6.198,0.3861,0.25614,32492.0,5.965564,13.7354,0.578193,0.40853,6.9968,0.25614,95.5270847381434,AMC-III,light,0.285,1
28.976,150.525,23.82,82.65,11.485,902.13,4.595,0.217,0.269184,21724.0,5.996655,10.0232,0.34591,0.395267,6.2852,0.269184,89.49303405572755,AMC-III,light,0.2735,1
6.565,98.164,24.01,81.93,26.079,870.0,2.697,0.1905,0.184952,16692.0,5.806675,0.0119,0.001806,0.344716,0.0,0.184952,89.49303405572755,AMC-III,dry,0.0143,1
28.455,148.896,35.44,66.26,12.338,918.16,2.473,0.092,0.266699,46477.0,7.474258,25.436,0.893901,0.493299,16.018,0.266699,98.94175341994321,AMC-III,light,1.1892,2
5.66,70.424,34.64,81.0,18.649,898.77,2.185,0.1206,0.136461,34008.0,7.209529,0.0,0.0,0.354525,10.5654,0.136461,85.0,AMC-II,dry,0.0147,1
16.414,148.036,27.83,95.65,12.346,960.0,4.62,0.0762,0.265385,31349.0,5.880725,7.5971,0.462857,0.355124,17.5149,0.265385,95.5270847381434,AMC-III,light,0.2062,1
15.27,73.006,20.74,36.7,0.294,885.64,5.346,0.5084,0.141093,29408.0,5.837959,0.7776,0.050922,0.354349,2.6679,0.141093,85.0,AMC-II,light,0.0185,1
37.106,169.958,19.73,87.17,7.354,887.21,0.252,0.6651,0.298181,33069.0,9.226572,25.8682,0.697144,0.646744,16.8887,0.298181,95.5270847381434,AMC-III,moderate,4.7808,2
26.106,141.281,30.67,77.7,37.652,900.66,0.214,0.2665,0.254973,32282.0,9.48512,15.8055,0.605426,0.557112,30.3753,0.254973,95.5270847381434,AMC-III,light,3.0755,2
5.713,61.46,30.52,85.49,0.811,901.85,0.194,0.2521,0.120183,21428.0,9.081975,0.0,0.0,0.418444,31.6637,0.120183,74.0,AMC-II,dry,0.0572,1
7.681,77.479,29.86,71.41,33.142,917.18,0.161,0.0892,0.149061,44531.0,10.255045,2.6972,0.351171,0.462481,47.0885,0.149061,97.02743230131428,AMC-III,light,0.5672,2
3.974,39.06,21.6,98.18,11.254,894.79,0.492,0.1731,0.078152,29605.0,8.632218,0.0,0.0,0.418536,21.5425,0.078152,71.29975254791762,AMC-I,dry,0.0278,1
13.339,88.026,26.87,81.01,9.411,918.81,0.256,0.1,0.167554,45847.0,9.927112,10.5548,0.79127,0.514538,47.8294,0.167554,98.94175341994321,AMC-III,light,1.9412,2
9.551,73.637,28.61,87.42,7.377,896.8,0.16,0.1385,0.142222,48943.0,10.458246,0.9683,0.101376,0.486803,26.7481,0.142222,92.0,AMC-II,light,0.2039,2
13.188,90.8,24.27,92.17,24.536,907.7,12.597,0.0491,0.172352,34066.0,5.177723,5.147,0.390265,0.307826,2.8774,0.172352,95.5270847381434,AMC-III,light,0.0546,1
12.398,70.424,26.16,85.41,40.051,943.71,0.684,0.0456,0.136462,49258.0,9.073116,2.1183,0.170854,0.36868,56.6418,0.136462,92.0,AMC-II,light,0.2488,1
